AS7,-,1,1.293611049652,103.77194213867
BIZ 2,-,1,1.2933399741193,103.77515971660
Block EA,-,1,1.3005000352859,103.7701034545
Botanic Gardens MRT,-,1,1.3227000236511,103.81510162353
BTC - Oei Tiong Ham Building,-,1,1.3191000223159,103.81680297851
Central Library,-,1,1.2963999509811,103.77220153808
College Green Hostel,-,1,1.3233330249786,103.81630706787
COM2 (CP13),-,1,1.2941670417785,103.77361297607
Computer Centre,-,1,1.2975000143051,103.77290344238
Kent Ridge Bus Terminal,-,1,1.2947000265121,103.76979827880
Kent Ridge MRT,-,1,1.2937999963760,103.78489685058
Kent Vale,-,1,1.3019551412708,103.76938068866
LT13,-,1,1.2942999601364,103.77079772949
LT29,-,1,1.2973999977111,103.78089904785
Museum,-,1,1.3010643554673,103.77373647689
Opp Block EA,-,1,1.3004000186920,103.7701034545
Opp HSSML,-,1,1.2927780151367,103.77500152587
Opp Kent Ridge MRT,-,1,1.293699979782,103.78520202636
Opp NUSS,-,1,1.2933000326156,103.77239990234
Opp PGP Hse No 12,-,1,1.2937999963760,103.77700042724
Opp UHall,-,1,1.2975000143051,103.77829742431
Opp University Health Centre,-,1,1.2987999916076,103.77549743652
Opp YIH,-,1,1.2991000413894,103.77429962158
PGP Hse No 12,-,1,1.293611049652,103.77694702148
PGP Hse No 14 and No 15,-,1,1.2930560111999,103.77777862548
PGP Hse No 7,-,1,1.2932000160217,103.77780151367
PGPR,-,1,1.2908329963684,103.78083038330
Prince George's Park,-,1,1.2919440269470,103.780273437
Raffles Hall,-,1,1.3010286952978,103.77270555496
S17,-,1,1.2974965572357,103.78138732910
UHall,-,1,1.2976000308990,103.77790069580
University Health Centre,-,1,1.2989187240600,103.77605438232
University Town,-,1,1.3036110401153,103.77444458007
Ventus (Opp LT13),-,1,1.2953000068664,103.77059936523
YIH,-,1,1.2986999750137,103.77429962158
